Customer Country/Region,,Part,Description,Product Description,Product Family Code,Subclass Desc,Subfamily Desc,ATC
AT & DE,Reserved for AOU (EU only),FRX73D/A,RFB MBP 14 SL/12C/18C GPU/18G/1T-DEU,Refurbished 14-inch MacBook Pro,mac,RFB MACBOOK PRO,RFB MACBOOK PRO J514,27
GB & IE,Reserved for AOU (GB & ROI only),FRX83B/A,RFB MBP 14 SL/14C/30C GPU/36G/1T-GBR,Refurbished 14-inch MacBook Pro,mac,RFB MACBOOK PRO,RFB MACBOOK PRO J514,12
GB & IE,Reserved for AOU (GB & ROI only),FUW73B/A,RFB MBP 16 SL/16C/40C GPU/48G/1T-GBR,Refurbished 16-inch MacBook Pro,mac,RFB MACBOOK PRO,RFB MACBOOK PRO J516,17
GB & IE,Reserved for AOU (GB & ROI only),KGJ53B/A,IPHONE 12 BLACK 64GB ORT-GBR,,iphone,IPHONE 12 D53 OCT20,AVAILABLE FOR REUSE,9
GB & IE,Reserved for AOU (GB & ROI only),KGJ73B/A,IPHONE 12 RED 64GB ORT-GBR,,iphone,IPHONE 12 D53 OCT20,IPHONE 12 D53 64GB R,14
GB & IE,Reserved for AOU (GB & ROI only),KMYQ3B/A,AOU STUDIO DISPLAY STD/VESA/1M-GBR,Wall Mount Display,display,DISPLAY J327 MAR22,27IN STUDIO DISPLAY/,9
GB & IE,Reserved for AOU (GB & ROI only),KMYV3B/A,AOU STUDIO DISPLAY NANO/HEIGHT/1M-GBR,,display,DISPLAY J327 MAR22,27IN STUDIO DISPLAY/,34
GB & IE,Reserved for AOU (GB & ROI only),KMYW3B/A,AOU STUDIO DISPLAY NANO/TILT/1M-GBR,,display,DISPLAY J327 MAR22,27IN STUDIO DISPLAY/,22
GB & IE,Reserved for AOU (GB & ROI only),KMYX3B/A,AOU STUDIO DISPLAY NANO/VESA/1M-GBR,Wall Mount Display,display,DISPLAY J327 MAR22,27IN STUDIO DISPLAY/,10
GB,,FQ0T3ZD/A,RFB IPHONE 14 PRO SBL 256GB-ZDD,Refurbished iPhone 14 Pro,iphone,RFB IPHONE,RFB IPHONE 14 PRO D7,329
GB & IE,,FU9D3B/A,RFBMACMINI/10C CPU/10C GPU/16G/256GB-GBR,Refurbished Mac mini Apple M4 Chip,mac,RFB MAC MINI,RFB MAC MINI J773 GO,617
GB,,FQ0G3ZD/A,RFB IPHONE 14 PRO PUR 128GB-ZDD,Refurbished iPhone 14 Pro,iphone,RFB IPHONE,RFB IPHONE 14 PRO D7,323
AT & DE,,FRX33D/A,RFB MBP 14 SB/11C/14C GPU/18G/512G-DEU,Refurbished 14-inch MacBook Pro,mac,RFB MACBOOK PRO,RFB MACBOOK PRO J514,120
FR,,FU9D3F/A,RFBMACMINI/10C CPU/10C GPU/16G/256GB-FRA,Refurbished Mac mini Apple M4 Chip,mac,RFB MAC MINI,RFB MAC MINI J773 GO,571
GB,,FQ9U3ZD/A,RFB IPHONE 14 PRO MAX SBL 256GB-ZDD,Refurbished iPhone 14 Pro Max,iphone,RFB IPHONE,RFB IPHONE 14 PRO MA,150
GB,,FQ9W3ZD/A,RFB IPHONE 14 PRO MAX GLD 256GB-ZDD,Refurbished iPhone 14 Pro Max,iphone,RFB IPHONE,RFB IPHONE 14 PRO MA,124
AT & DE,,FRW13D/A,RFB MBP 16 SB/12C/18C GPU/18G/512G-DEU,Refurbished 16-inch MacBook Pro,mac,RFB MACBOOK PRO,RFB MACBOOK PRO J516,59
GB,,FQ9X3ZD/A,RFB IPHONE 14 PRO MAX PUR 256GB-ZDD,Refurbished iPhone 14 Pro Max,iphone,RFB IPHONE,RFB IPHONE 14 PRO MA,182
GB,,FQ9V3ZD/A,RFB IPHONE 14 PRO MAX SLV 256GB-ZDD,Refurbished iPhone 14 Pro Max,iphone,RFB IPHONE,RFB IPHONE 14 PRO MA,102
GB & IE,,G18S3B/A,RFB MBA 15.3 STL/10C GPU/16GB/1TB-GBR,Refurbished MacBook Air,mac,RFB MACBOOK AIR,RFB MACBOOK AIR J415,64
AT & DE,,FRX63D/A,RFB MBP 14 SL/11C/14C GPU/18G/512G-DEU,Refurbished 14-inch MacBook Pro,mac,RFB MACBOOK PRO,RFB MACBOOK PRO J514,47
AT & DE,,FTL73D/A,RFB MBP 14 SG/8C/10C GPU/8GB/512GB-DEU,Refurbished 14-inch MacBook Pro,mac,RFB MACBOOK PRO,RFB MACBOOK PRO J504,57
